"cidade","doenca","quantidade"
"São José do Campestre","Acidente vascular cerebral",1
"São José do Campestre","Varizes dos membros inferiores com úlcera",2
"São José do Campestre","Insuficiência cardíaca não especificada",5
"São José do Campestre","Diabetes mellitus não-insulino-dependente - com complicações não especificadas",1
"São José do Campestre","Angiopatia periférica em doenças classificadas em outra parte",1
"São José do Campestre","Doença pulmonar obstrutiva crônica não especificada",1
"São José do Campestre","Hérnia ventral com obstrução",1
"São José do Campestre","Neoplasia maligna da próstata",1
"São José do Campestre","Outros traumatismos intracranianos",0
"São José do Campestre","Bloqueio atrioventricular total",0
"São José do Campestre","Fratura de outras partes do antebraço",1
"São José do Campestre","Outras infecções intestinais especificadas",2
"São José do Campestre","Insuficiência respiratória aguda",2
"São José do Campestre","Hipertensão secundária",2
"São José do Campestre","Septicemia bacteriana não especificada do recém-nascido",1
"São José do Campestre","Afecções hipertróficas da pele",1
"São José do Campestre","Salpingite e ooforite agudas",1
"São José do Campestre","Hepatite viral",1
"São José do Campestre","Abscesso cutâneo",2
"São José do Campestre","Outros sintomas e sinais gerais especificados",7
"São José do Campestre","Complicação não especificada de cuidados médicos e cirúrgicos",1
"São José do Campestre","Diabetes mellitus insulino-dependente - sem complicações",1
"São José do Campestre","Fratura da diáfise do úmero",1
"São José do Campestre","Neoplasia maligna da face dorsal da língua",1
"São José do Campestre","Síndrome do túnel do tarso",1
"São José do Campestre","Insuficiência renal crônica não especificada",1
"São José do Campestre","Outras hemorragias subaracnóides",1
"São José do Campestre","Neoplasia maligna do estômago com lesão invasiva",1
"São José do Campestre","Estenose mitral",1
"São José do Campestre","Neoplasia maligna do cérebro",1
"São José do Campestre","Fístula de via biliar",1
"São José do Campestre","Outras pneumonias virais",1
"São José do Campestre","Desconforto respiratório não especificado do recém-nascido",0
"São José do Campestre","Outras complicações específicas de gestação múltipla",2
"São José do Campestre","Pré-eclâmpsia não especificada",1
"São José do Campestre","Transtorno osteomuscular não especificado pós-procedimento",1
"São José do Campestre","Neoplasia maligna do estômago",1
"São José do Campestre","Cólica nefrética não especificada",1
"São José do Campestre","Bronquite não especificada como aguda ou crônica",1
"São José do Campestre","Diabetes mellitus insulino-dependente - com complicações não especificadas",1
"São José do Campestre","Leucoma aderente",1
"São José do Campestre","Fratura dos ossos malares e maxilares",1
"São José do Campestre","Neoplasia maligna da porção cervical do esôfago (esôfago cervical)",1
"São José do Campestre","Amputação traumática do pé ao nível do tornozelo",1
"São José do Campestre","Incompetência do colo do útero",2
"São José do Campestre","Aborto retido",1
"São José do Campestre","Neoplasia maligna do cerebelo",1
"São José do Campestre","Outras cistites",1
"São José do Campestre","Embolia aérea subseqüentes à infusão",1
"São José do Campestre","Leucemia mielóide aguda",0
"São José do Campestre","Distúrbio metabólico não especificado",1
"São José do Campestre","Calculose da vesícula biliar sem colecistite",1
"São José da Passagem","Outros tipos de parto único espontâneo",0
"São José da Passagem","Cisto pilonidal com abscesso",0
"São José da Passagem","Cistocele",0
"São José da Passagem","Anemia nutricional não especificada",0
"São José da Passagem","Obstrução do trabalho de parto devida a desproporção feto-pélvica",0
"São José da Passagem","Aborto espontâneo - incompleto",0
"São José da Passagem","Infecção intestinal bacteriana não especificada",0
"São José da Passagem","Neoplasia maligna da trompa de Falópio",1
"São José da Passagem","Parto por cesariana eletiva",0
"São José da Passagem","Hérnia umbilical com obstrução",0
"São José da Passagem","Sialadenite",0
"São José da Passagem","Outras enterites virais",0
"São José da Passagem","Infecção estreptocócica de localização não especificada",0
"São José da Passagem","Outros acidentes isquêmicos cerebrais transitórios e síndromes correlatas",0
"São José da Passagem","Diabetes mellitus insulino-dependente - com complicações circulatórias periféricas",0
"São José da Passagem","Transtornos não especificados dos glóbulos brancos",0
"São José da Passagem","Aderências peritoniais",0
"São José da Passagem","Parto por cesariana de emergência",0
"São José da Passagem","Púrpura trombocitopênica idiopática",0
"São José da Passagem","Septicemia não especificada",0
"São José da Passagem","Neoplasia maligna da mama com lesão invasiva",0
"São José da Passagem","Parto espontâneo cefálico",0
"São José da Passagem","Poliartropatia inflamatória",0
"São José da Passagem","Diabetes mellitus não especificado - com complicações circulatórias periféricas",0
"São José da Passagem","Pneumonia bacteriana não especificada",0
"São José da Passagem","Trabalho de parto e parto complicados por vasa praevia",0
"São José da Passagem","Hérnia inguinal unilateral ou não especificada",0
"São José da Passagem","Calculose da vesícula biliar com outras formas de colecistite",0
"São José da Passagem","Outras afecções especificadas da pele e do tecido subcutâneo",0
"São José da Passagem","Outros transtornos especificados dos órgãos genitais masculinos",0
"São José da Passagem","Outras colelitíases",0
"São José da Passagem","Outros transtornos especificados do aparelho urinário",0
"São José da Passagem","Outras doenças bacterianas especificadas",0
"São José da Passagem","Retenção urinária",0
"São José da Passagem","Infecção estafilocócica de localização não especificada",0
"São José da Passagem","Parto único espontâneo",0
"São José da Passagem","Outros cistos ovarianos e os não especificados",0
"São José da Passagem","Hipertrofia do prepúcio",0
"São José da Passagem","Infecção do trato urinário de localização não especificada",0
"São José da Passagem","Transtorno depressivo recorrente",0
"São José da Passagem","Outros transtornos da placenta",0
"São José da Passagem","Hemorróidas externas sem complicação",0
"São José da Passagem","Esquizofrenia simples",0
"São José da Passagem","Transtorno afetivo bipolar",0
"São José da Passagem","Esquizofrenia paranóide",0
"São José da Passagem","Fratura do colo do fêmur",0
"São José da Passagem","Diarréia e gastroenterite de origem infecciosa presumível",0
"São José da Passagem","Dengue [dengue clássico]",0
"São José da Passagem","Calculose da vesícula biliar com colicistite aguda",0
"São José da Passagem","Neoplasia benigna do útero",0
"São José da Passagem","Outra hidrocele",0
"São José da Passagem","Neoplasia lipomatosa benigna da pele e do tecido subcutâneo da cabeça",0
"São José da Passagem","Outras gastrites",0
"São José da Passagem","Fratura das diáfises do rádio e do cúbito [ulna]",0
"São José da Passagem","Outros descolamentos da retina",0
"São José da Passagem","Edema cerebral traumático",0
"São José da Passagem","Obstrução do duodeno",0
"São José da Passagem","Cirrose hepática alcoólica",0
"São José da Passagem","Outra insuficiência renal crônica",0
"São José da Passagem","Neoplasia maligna da porção central da mama",0
"São José da Passagem","Traumatismo do cólon",0
"São José da Passagem","Hiperplasia da próstata",0
"São José da Passagem","Fratura de outras partes e de partes não especificadas do punho e da mão",0
"São José da Passagem","Seguimento envolvendo remoção de placa de fratura e outros dispositivos de fixação interna",0
"São José da Passagem","Outras coxartroses pós-traumáticas",1
"São José da Passagem","Outras formas de doença isquêmica aguda do coração",0
"São José da Passagem","Outras esquizofrenias",0
"São José da Passagem","Transtornos mentais e comportamentais devidos ao uso de álcool - síndrome de dependência",0
"São José da Passagem","Transtornos mentais e comportamentais devidos ao uso de álcool - transtorno psicótico",0
"São José da Passagem","Outras poliartroses",0
"São José da Passagem","Luxação congênita unilateral do quadril",0
"São José da Passagem","Outras deformidades da orelha",0
"São José da Passagem","Insuficiência cardíaca congestiva",0
"São José da Passagem","Linfoma não-Hodgkin difuso",0
"São José da Passagem","Leiomioma subseroso do útero",0
"São José da Passagem","Neoplasia maligna do colo do útero",0
"São José da Passagem","Neoplasia de comportamento incerto ou desconhecido do ovário",0
"São José da Passagem","Neoplasia lipomatosa benigna da pele e tecido subcutâneo de outras localizações e de localizações não especificadas",0
"São José da Passagem","Transtornos inflamatórios da mama",0
"São José da Passagem","Outros tipos de parto único por cesariana",0
"São José da Passagem","Causas desconhecidas e não especificadas de morbidade",0
"São José da Passagem","Trabalho de parto e parto complicados por cordão curto",0
"São José da Passagem","Gastrite crônica",0
"São José da Passagem","Epilepsia",0
"São José da Passagem","Diabetes mellitus não especificado - com complicações não especificadas",0
"São José da Passagem","Doença do esôfago",0
"São José da Passagem","Pneumonia não especificada",0
"São José da Passagem","Outras gastrites agudas",0
"São José da Passagem","Asma não especificada",0
"São José da Passagem","Desnutrição protéico-calórica não especificada",0
"São José da Passagem","Trabalho de parto prolongado",0
"São José da Passagem","Infecção viral não especificada",0
"São José da Passagem","Nefrite túbulo-intersticial crônica não especificada",0
"São José da Passagem","Leiomioma do útero",0
"São José da Passagem","Outras doenças da glândula de Bartholin",0
"São José da Passagem","Cisto da glândula de Bartholin",0
"São José da Passagem","Outros abscessos da faringe",0
"São José da Passagem","Calculose de via biliar sem colangite ou colecistite",0
"São José da Passagem","Hiperplasia adenomatosa endometrial",0
"São José da Passagem","Doença pelo HIV resultando em encefalopatia",0
"São José da Passagem","Efeito tóxico do veneno de serpente",0
"São José da Passagem","Peritonite aguda",0
"São José da Passagem","Traumatismo cerebral focal",0
"São José da Passagem","Bexiga neuropática não-inibida não classificada em outra parte",0
"São José da Passagem","Doença pulmonar obstrutiva crônica com infecção respiratória aguda do trato respiratório inferior",0
"São José da Passagem","Neoplasia maligna secundária e não especificada dos gânglios linfáticos da cabeça",0
"São José da Passagem","Esterilização",1
"São José da Passagem","Nódulo mamário não especificado",0
"São José da Passagem","Trabalho de parto e parto complicados por sofrimento fetal",0
"São José da Passagem","Outras anormalidades da contração uterina",0
"São José da Passagem","Hérnia ventral sem obstrução ou gangrena",0
"São José da Passagem","Pólipo do corpo do útero",0
"São José da Passagem","Erisipela",0
"São José da Passagem","Gravidez prolongada",0
"São José da Passagem","Anemia não especificada",0
"São José da Passagem","Hipertensão essencial (primária)",0
"São José da Passagem","Bronquite aguda não especificada",0
"São José da Passagem","Episódio depressivo moderado",0
"São José da Passagem","Gastrite não especificada",0
"São José da Passagem","Outras septicemias especificadas",0
"São José da Passagem","Outros recém-nascidos de pré-termo",0
"São José da Passagem","Tuberculose pulmonar",0
"São José da Passagem","Fratura da rótula [patela]",0
"São José da Passagem","Fratura da extremidade inferior do úmero",0
"São José da Passagem","Neoplasia maligna dos ureteres",0
"São José da Passagem","Fratura do maléolo lateral",0
"São José da Passagem","Afecções da pele e do tecido subcutâneo",0
"São José da Passagem","Cisto ovariano de desenvolvimento",0
"São José da Passagem","Parto por cesariana",0
"São José da Passagem","Infecção bacteriana não especificada",0
"São José da Passagem","Neoplasia benigna de outras partes do útero",0
"São José da Passagem","Úlcera gastrojejunal - aguda com hemorragia",0
"São José da Passagem","Neoplasia benigna de localização não especificada",0
"São José da Passagem","Salpingite e ooforite não especificadas",0
"São José da Passagem","Fratura da diáfise do fêmur",0
"São José da Passagem","Luxação da articulação do tornozelo",0
"São José da Passagem","Neoplasia de comportamento incerto ou desconhecido da bexiga",0
"São José da Passagem","Apendicite aguda sem outra especificação",0
"São José da Passagem","Outras doenças especificadas do intestino",0
"São José da Passagem","Hérnia umbilical sem obstrução ou gangrena",0
"São José da Passagem","Neoplasia de comportamento incerto ou desconhecido da próstata",0
"São José da Passagem","Nevo melanocítico de outras partes e de partes não especificadas da face",0
"São José da Passagem","Neoplasia benigna da glândula parótida",0
"São José da Passagem","Outras pneumonias bacterianas",0
"São José da Passagem","Outros transtornos respiratórios pós-procedimentos",0
"São José da Passagem","Úlcera de decúbito",0
"São José da Passagem","Pneumoconiose não especificada",0
"São José da Passagem","Pneumonia viral não especificada",0
"São José da Passagem","Traumatismo do rim",0
"São José da Passagem","Doador de medula óssea",0
"São José da Passagem","Leucemia linfoblástica aguda",0
"São José da Passagem","Angina instável",0
"São José da Passagem","Neoplasia de comportamento incerto ou desconhecido da medula espinhal",0
"São José da Passagem","Trabalho de parto precipitado",0
"São José da Passagem","Transtornos mentais e comportamentais devidos ao uso de álcool - síndrome de abstinência com delirium",0
"São José da Passagem","Fratura da diáfise da tíbia",0
"São José da Passagem","Neoplasia maligna da glândula tireóide",1
"São José da Passagem","Gangrena gasosa",0
"São José da Passagem","Transtornos do desenvolvimento dos maxilares",0
"São José da Passagem","Transtornos mentais e comportamentais devidos ao uso de álcool - síndrome [estado] de abstinência",0
"São José da Passagem","Insuficiência respiratória do recém-nascido",0
"São José da Passagem","Fratura da extremidade distal do rádio e do cúbito [ulna]",0
"São José da Passagem","Fenda palatina não especificada",0
"São José da Passagem","Fratura da clavícula",0
"São José da Passagem","Doença do pâncreas",0
"São José da Passagem","Fratura da extremidade superior do úmero",0
"São José da Passagem","Acidente vascular cerebral",0
"São José da Passagem","Varizes dos membros inferiores com úlcera",0
"São José da Passagem","Insuficiência cardíaca não especificada",0
"São José da Passagem","Diabetes mellitus não-insulino-dependente - com complicações não especificadas",0
"São José da Passagem","Angiopatia periférica em doenças classificadas em outra parte",0
"São José da Passagem","Doença pulmonar obstrutiva crônica não especificada",0
"São José da Passagem","Hérnia ventral com obstrução",0
"São José da Passagem","Neoplasia maligna da próstata",0
"São José da Passagem","Outros traumatismos intracranianos",1
"São José da Passagem","Bloqueio atrioventricular total",0
"São José da Passagem","Fratura de outras partes do antebraço",0
"São José da Passagem","Outras infecções intestinais especificadas",0
"São José da Passagem","Insuficiência respiratória aguda",0
"São José da Passagem","Hipertensão secundária",0
"São José da Passagem","Septicemia bacteriana não especificada do recém-nascido",0
"São José da Passagem","Afecções hipertróficas da pele",0
"São José da Passagem","Salpingite e ooforite agudas",0
"São José da Passagem","Hepatite viral",0
"São José da Passagem","Abscesso cutâneo",0
"São José da Passagem","Outros sintomas e sinais gerais especificados",0
"São José da Passagem","Complicação não especificada de cuidados médicos e cirúrgicos",0
"São José da Passagem","Diabetes mellitus insulino-dependente - sem complicações",0
"São José da Passagem","Fratura da diáfise do úmero",0
"São José da Passagem","Neoplasia maligna da face dorsal da língua",0
"São José da Passagem","Síndrome do túnel do tarso",0
"São José da Passagem","Insuficiência renal crônica não especificada",0
"São José da Passagem","Outras hemorragias subaracnóides",0
"São José da Passagem","Neoplasia maligna do estômago com lesão invasiva",0
"São José da Passagem","Estenose mitral",0
"São José da Passagem","Neoplasia maligna do cérebro",0
"São José da Passagem","Fístula de via biliar",0
"São José da Passagem","Outras pneumonias virais",0
"São José da Passagem","Desconforto respiratório não especificado do recém-nascido",0
"São José da Passagem","Outras complicações específicas de gestação múltipla",0
"São José da Passagem","Pré-eclâmpsia não especificada",0
"São José da Passagem","Transtorno osteomuscular não especificado pós-procedimento",0
"São José da Passagem","Neoplasia maligna do estômago",0
"São José da Passagem","Cólica nefrética não especificada",0
"São José da Passagem","Bronquite não especificada como aguda ou crônica",0
"São José da Passagem","Diabetes mellitus insulino-dependente - com complicações não especificadas",0
"São José da Passagem","Leucoma aderente",0
"São José da Passagem","Fratura dos ossos malares e maxilares",0
"São José da Passagem","Neoplasia maligna da porção cervical do esôfago (esôfago cervical)",0
"São José da Passagem","Amputação traumática do pé ao nível do tornozelo",0
"São José da Passagem","Incompetência do colo do útero",0
"São José da Passagem","Aborto retido",0
"São José da Passagem","Neoplasia maligna do cerebelo",0
"São José da Passagem","Outras cistites",0
"São José da Passagem","Embolia aérea subseqüentes à infusão",0
"São José da Passagem","Leucemia mielóide aguda",0
"São José da Passagem","Distúrbio metabólico não especificado",0
"São José da Passagem","Calculose da vesícula biliar sem colecistite",0
"Trairi","Outros tipos de parto único espontâneo",0
"Trairi","Cisto pilonidal com abscesso",0
"Trairi","Cistocele",4
"Trairi","Anemia nutricional não especificada",0
"Trairi","Obstrução do trabalho de parto devida a desproporção feto-pélvica",0
"Trairi","Aborto espontâneo - incompleto",0
"Trairi","Infecção intestinal bacteriana não especificada",0
"Trairi","Neoplasia maligna da trompa de Falópio",0
"Trairi","Parto por cesariana eletiva",0
"Trairi","Hérnia umbilical com obstrução",0
"Trairi","Sialadenite",0
"Trairi","Outras enterites virais",0
"Trairi","Infecção estreptocócica de localização não especificada",0
"Trairi","Outros acidentes isquêmicos cerebrais transitórios e síndromes correlatas",0
"Trairi","Diabetes mellitus insulino-dependente - com complicações circulatórias periféricas",0
"Trairi","Transtornos não especificados dos glóbulos brancos",0
"Trairi","Aderências peritoniais",0
"Trairi","Parto por cesariana de emergência",0
"Trairi","Púrpura trombocitopênica idiopática",0
"Trairi","Septicemia não especificada",0
"Trairi","Neoplasia maligna da mama com lesão invasiva",0
"Trairi","Parto espontâneo cefálico",0
"Trairi","Poliartropatia inflamatória",0
"Trairi","Diabetes mellitus não especificado - com complicações circulatórias periféricas",0
"Trairi","Pneumonia bacteriana não especificada",0
"Trairi","Trabalho de parto e parto complicados por vasa praevia",0
"Trairi","Hérnia inguinal unilateral ou não especificada",0
"Trairi","Calculose da vesícula biliar com outras formas de colecistite",0
"Trairi","Outras afecções especificadas da pele e do tecido subcutâneo",0
"Trairi","Outros transtornos especificados dos órgãos genitais masculinos",0
"Trairi","Outras colelitíases",0
"Trairi","Outros transtornos especificados do aparelho urinário",0
"Trairi","Outras doenças bacterianas especificadas",0
"Trairi","Retenção urinária",0
"Trairi","Infecção estafilocócica de localização não especificada",0
"Trairi","Parto único espontâneo",0
"Trairi","Outros cistos ovarianos e os não especificados",0
"Trairi","Hipertrofia do prepúcio",0
"Trairi","Infecção do trato urinário de localização não especificada",0
"Trairi","Transtorno depressivo recorrente",0
"Trairi","Outros transtornos da placenta",0
"Trairi","Hemorróidas externas sem complicação",0
"Trairi","Esquizofrenia simples",0
"Trairi","Transtorno afetivo bipolar",0
"Trairi","Esquizofrenia paranóide",0
"Trairi","Fratura do colo do fêmur",0
"Trairi","Diarréia e gastroenterite de origem infecciosa presumível",0
"Trairi","Dengue [dengue clássico]",0
"Trairi","Calculose da vesícula biliar com colicistite aguda",0
"Trairi","Neoplasia benigna do útero",0
"Trairi","Outra hidrocele",0
"Trairi","Neoplasia lipomatosa benigna da pele e do tecido subcutâneo da cabeça",0
"Trairi","Outras gastrites",0
"Trairi","Fratura das diáfises do rádio e do cúbito [ulna]",0
"Trairi","Outros descolamentos da retina",0
"Trairi","Edema cerebral traumático",0
"Trairi","Obstrução do duodeno",0
"Trairi","Cirrose hepática alcoólica",0
"Trairi","Outra insuficiência renal crônica",0
"Trairi","Neoplasia maligna da porção central da mama",0
"Trairi","Traumatismo do cólon",0
"Trairi","Hiperplasia da próstata",0
"Trairi","Fratura de outras partes e de partes não especificadas do punho e da mão",0
"Trairi","Seguimento envolvendo remoção de placa de fratura e outros dispositivos de fixação interna",0
"Trairi","Outras coxartroses pós-traumáticas",0
"Trairi","Outras formas de doença isquêmica aguda do coração",0
"Trairi","Outras esquizofrenias",0
"Trairi","Transtornos mentais e comportamentais devidos ao uso de álcool - síndrome de dependência",0
"Trairi","Transtornos mentais e comportamentais devidos ao uso de álcool - transtorno psicótico",0
"Trairi","Outras poliartroses",0
"Trairi","Luxação congênita unilateral do quadril",0
"Trairi","Outras deformidades da orelha",0
"Trairi","Insuficiência cardíaca congestiva",0
"Trairi","Linfoma não-Hodgkin difuso",0
"Trairi","Leiomioma subseroso do útero",0
"Trairi","Neoplasia maligna do colo do útero",0
